"","X.1","Country","Rank","Population","Date","xofworld","Source","X","Workweek.hours.2","annual","hourly","percetageGDP","annual_PPP","hourly_PPP"
"107",107,"Montenegro",167,620029,"4/1/11","0.01%","Final 2011 census result",120,"40",3073,1.48,35,5017,2.41
"108",108,"Morocco",39,33414900,"10/24/14","0.46%","Official population clock",121,"44[154]",4275,1.87,117.9,8703,3.8
"109",109,"Mozambique",49,25041922,"7/1/14","0.35%","Annual official projection",122,"40",1149,0.55,190.2,2224,1.07
"110",110,"Myanmar",25,51419420,"3/29/14","0.71%","Preliminary 2014 census result",123,"44",1046,0.46,73.9,3479,1.52
"113",113,"Nepal",46,26494504,"6/22/11","0.37%","Final 2011 census result",126,"48",965,0.39,127.7,3033,1.21
"114",114,"Netherlands",64,16873600,"10/24/14","0.23%","Official population clock",127,"40[161]",24273,11.67,43.3,20414,9.81
"115",115,"New Zealand",124,4536140,"10/24/14","0.06%","Official population clock",128,"40",25451,12.24,55.8,19645,9.44
"116",116,"Nicaragua",111,6146400,"2013","0.09%","Official estimate",129,"48",1248,0.5,63.9,3063,1.23
"117",117,"Niger",63,17138707,"12/10/12","0.24%","Preliminary 2012 census result",130,"40",729,0.35,168.3,1627,0.78
"118",118,"Nigeria",7,178517000,"7/1/14","2.48%","UN projection[6]",131,"40",1362,0.65,37,2173,1.04
"121",121,"Oman",129,4071147,"10/22/14","0.06%","Weekly official estimate",133,"45",10143,4.33,45.2,19496,8.33
"122",122,"Pakistan",6,188020000,"7/1/14","2.61%","Official annual projection",134,"48",1543,0.62,105.4,5102,2.04
"123",123,"Palau",225,20901,"7/1/13","0.00%","Annual official estimate",135,"40[166]",6240,3,45.2,6674,3.21
"124",124,"Panama",131,3713312,"2014","0.05%","Official estimate",136,"48",3051,1.22,25,5141,2.06
"125",125,"Papua New Guinea",99,7398500,"7/1/13","0.10%","Annual official estimate",137,"44[170]",2975,1.3,118.1,3122,1.36
"126",126,"Paraguay",104,6893727,"2014","0.10%","Official estimate",138,"48",4905,1.97,105.9,8921,3.57
"127",127,"Peru",40,30814175,"7/1/14","0.43%","Official annual projection",139,"48",3169,1.27,45.5,5488,2.2
"128",128,"Philippines",12,100440100,"10/24/14","1.40%","Official population clock",140,"40[174]",1441,0.69,46.6,3223,1.55
"129",129,"Poland",34,38496000,"12/31/13","0.53%","Official estimate",141,"40",7037,3.38,47.2,11733,5.64
"130",130,"Portugal",84,10477800,"12/31/13","0.15%","Annual official estimate",142,"40",9380,4.51,38,10759,5.17
"132",132,"Romania",59,19942642,"1/1/14","0.28%","Annual official estimate",144,"40",3762,1.81,33.2,6446,3.1
"134",134,"Saint Kitts and Nevis",212,55000,"7/1/14","0.00%","UN projection",147,"40[182]",6933,3.33,37.8,8604,4.14
"136",136,"Saint Vincent and the Grenadines",193,109000,"7/1/14","0.00%","UN projection",149,"40",2407,1.16,30.5,3237,1.56
"137",137,"Samoa",188,187820,"11/7/11","0.00%","Final 2011 census result",150,"40",1784,0.86,38.9,2253,1.08
"138",138,"San Marino",219,32727,"8/31/14","0.00%","Monthly official estimate",151,"37.5[186]",25196,12.92,58.3,24466,12.55
"139",139,"Saudi Arabia",41,30770375,"7/1/14","0.43%","Official annual projection",153,"48",9600,3.85,35.5,19409,7.78
"140",140,"Senegal",71,13508715,"11/19/13","0.19%","2013 census result",154,"40",770,0.37,69.7,1611,0.77
"141",141,"Serbia",102,7146759,"1/1/14","0.10%","Annual official estimate",155,"40",3835,1.84,53.4,6762,3.25
"142",142,"Seychelles",201,89949,"7/1/13","0.00%","Annual official estimate",156,"40[192]",4357,2.09,24.9,6534,3.14
"143",143,"Sierra Leone",110,6205000,"7/1/14","0.09%","UN projection",157,"40",1326,0.64,130.3,2675,1.29
"145",145,"Slovakia",117,5415949,"12/31/13","0.08%","Official estimate",159,"40",6430,3.09,31.6,8720,4.19
"146",146,"Slovenia",146,2064394,"10/24/14","0.03%","Official population clock",160,"40",12589,6.05,47.4,14194,6.82
"147",147,"Solomon Islands",170,581344,"7/1/13","0.01%","Annual official estimate",161,"45",1015,0.43,44.2,941,0.4
"150",150,"South Korea",26,50423955,"7/1/14","0.70%","Official projection",92,"40",11456,5.51,39.8,13688,6.58
"151",151,"Spain",29,46507800,"1/1/14","0.63%","Annual official estimate",164,"40",12047,5.79,35.8,12096,5.82
"152",152,"Sri Lanka",58,20277597,"3/21/12","0.28%","Preliminary 2012 census result",165,"45",689,0.29,17.9,1889,0.81
"153",153,"Sudan",35,37289406,"7/1/14","0.52%","Official annual projection",166,"40",889,0.43,35.8,1478,0.71
"155",155,"Swaziland",159,1106189,"7/1/14","0.02%","Official projection",168,"48",694,0.33,19,1128,0.54
"158",158,"Taiwan",53,23410280,"9/30/14","0.33%","Monthly official estimate",172,"42",8849,4.05,38.2,17512,8.02
"159",159,"Tajikistan",98,8161000,"1/1/14","0.11%","Official estimate",173,"40",608,0.29,53.6,1422,0.68
"160",160,"Tanzania",28,47421786,"7/1/14","0.66%","Official Projection",174,"45[211]",290,0.12,25.1,650,0.28
"161",161,"Thailand",21,64871000,"7/1/14","0.90%","Official estimate",175,"48",2882,1.15,48.8,7150,2.86
"162",162,"Timor-Leste",158,1212107,"7/1/14","0.02%","Official estimate",176,"44",1380,0.6,91,2073,0.91
"163",163,"Togo",103,6993000,"7/1/14","0.10%","UN projection",177,"40",849,0.41,125.1,1819,0.87
"165",165,"Trinidad and Tobago",154,1328019,"1/9/11","0.02%","2011 census result",179,"40",4868,2.34,19.2,5851,2.81
"166",166,"Tunisia",79,10982754,"4/23/14","0.15%","Preliminary 2014 census result",180,"48",1470,0.59,29,3231,1.29
"167",167,"Turkey",18,76667864,"12/31/13","1.07%","Annual official estimate",181,"45",6588,2.82,52.3,10063,4.3
"168",168,"Turkmenistan",112,5824960,"10/24/14","0.08%","Official population clock",182,"40",2253,1.08,24.9,3858,1.85
"170",170,"Uganda",36,36600000,"7/1/14","0.51%","Annual official estimate",184,"40",28,0.01,3.7,64,0.03
"171",171,"Ukraine",30,42981850,"8/1/14","0.60%","Monthly official estimate",185,"40",1365,0.66,52.9,4583,2.2
"173",173,"United Kingdom",22,64105654,"7/1/13","0.89%","Annual official estimate",187,"38.2[221]",21899,11.02,42.9,16772,8.44
"174",174,"United States",3,318964000,"10/24/14","4.43%","Official population clock",188,"40",15080,7.25,27.6,15080,7.25
"175",175,"Uruguay",135,3404189,"6/30/14","0.05%","Annual official estimate",189,"48",5369,2.15,30,6258,2.51
"176",176,"Uzbekistan",42,30492800,"1/1/14","0.42%","Official estimate",190,"40",558,0.27,27.4,1531,0.74
"177",177,"Vanuatu",184,264652,"7/1/13","0.00%","Annual official estimate",191,"40",3643,1.75,103.6,3100,1.49
"178",178,"Venezuela",44,30206307,"6/30/14","0.42%","Official annual projection",192,"40",477,0.23,2.2,392,0.19
"180",180,"Zambia",70,15023315,"7/1/14","0.21%","Official estimate",195,"48",1019,0.41,52.4,2142,0.86
